ID  ,问题                                                                                                                                                                    ,答案
38  ,请问河南省国家专项计划最低能录取到多少位次呢                                                                                                                                                ,"请看看我校招生办网站公布的去年分数线哦
"
39  ,请问中外合作专业毕业文凭是双文凭吗？4年本科会到国外就读吗？                                                                                                                                        ,"是的，不会到国外
"
40  ,河南文科考生2509到2600名报考贵校有希望吗？                                                                                                                                             ,"希望很大哦，可以考虑大胆报考
"
41  ,老师您好，山西理科584分，7212位，报考贵校有希望吗                                                                                                                                          ,"可以考虑大胆报考哦，结合6个专业志愿搭配好
"
42  ,老师好，请问以贵校提前批的护理学进去，是否可以转专业，难度系数大吗？                                                                                                                                    ,"没有提前批了，护理学不能够转专业
"
43  ,老师好，请问若被录入贵校的209专业组，去了珠海校区，那么是否存在转校区的可能？如果可以的话，又该如何转呢？                                                                                                                ,"一年后有机会，凭成绩
"
44  ,老师您好，山西理科584分，7212位，报考贵校有希望吗                                                                                                                                          ,"希望挺大哦。可以大胆冲报
"
45  ,你好，请问广东历史类排名4200有希望进贵校吗?谢谢！                                                                                                                                           ,"可以大胆冲报有关专业组哦
"
46  ,你好！我是2021年的广东编导考生，在招生章程上看到贵校有最低分数控制线，戏剧影视导演是普通类本科线，按广播电视编导统考成绩录取，今年文化生本科线是448，广播电视编导本科线是405，请问贵校的控制线是448还是405呢                                                        ,"448
"
47  ,暨南大学在安徽省的投档比例是1：1还是其他？                                                                                                                                                ,"1:1
"
48  ,您好我想问一下贵校有专本连读吗？                                                                                                                                                      ,"没有
"
49  ,安徽文科591分，今年贵校投档分是多少                                                                                                                                                   ,"请查看往年分数，从招生办网站
"
50  ,您好！请问暨伯学院招生是什么意思？我在我省招考指南中没有看到吗。                                                                                                                                      ,"单列招生，仔细翻阅
"
51  ,555分能被录取吗                                                                                                                                                             ,"只能冲报哦
"
52  ,你好，江西省文科考生606分，排名2545，有机会录取吗                                                                                                                                          ,"机会挺大的哦，可以考虑报考的
"
53  ,国家专项计划要求是什么                                                                                                                                                           ,"按各省定的资格执行
"
54  ,老师好，请问北京孩子537分能被贵校的最低分录取嘛？谢谢                                                                                                                                          ,"请参考我校往年录取分数哦，综合衡量。按往年情况机会不是很大
"
55  ,请问招收内地西藏班少数民族考生嘛，若招收421分能入贵学校嘛，是北京的内地西藏班                                                                                                                              ,"有相应的计划，可以了解
"
56  ,您好，今年贵校在安徽省有国家专项计划吗                                                                                                                                                   ,"有的，请自行翻阅目录
"
57  ,云南文科629分可报本校吗qmuc                                                                                                                                                     ,"可以大胆冲报的，平行志愿
"
58  ,2021年安徽省13000名能考贵校吗？                                                                                                                                                  ,"理科的话，可以大胆报哦
"
59  ,暨大导演按照什么方式录取                                                                                                                                                          ,"按统考成绩
"
60  ,请问安徽省理科排名15728名能进贵校的什么专业？                                                                                                                                             ,"这个排位在我校可选的专业不太多，建议可以参考我校网站公布的去年的分专业录取分数
"
61  ,请问安徽省理科排名15728名能进贵校的什么专业？                                                                                                                                             ,"请查看网站公布的去年分专业录取分。参考比对
"
62  ,请问贵校的中外合作专业毕业证有带“中外合作”等字样吗？和普通专业的一样吗?                                                                                                                                 ,"跟普通专业一样的
"
63  ,甘肃省文科考生排名1234可以报考贵校吗                                                                                                                                                  ,"可以尝试冲冲
"
64  ,请问贵校在渝招收统计学专业吗？我成绩605有希望吗？                                                                                                                                            ,"招生计划已经在网站公布哦，请登录网站查询。包括去年的分数线
"
65  ,请问进档并接受调剂的考生是否能一律不退呢？                                                                                                                                                 ,"普通类服从调剂，符合录取条件，是不退档的。
"
66  ,老师您好，我是广东编导学生，想问一下贵校导演和戏文专业录取是按照学校招生章程写的方式录取，还是和其他院校一样按照综合分排名录取？                                                                                                      ,"投档按各省规则，投档以后按我校自己的规则排序录取。
"
67  ,甘肃省文科考生排名多少可以报考贵校                                                                                                                                                     ,"甘肃文科建议1000名前后可以冲报暨大
"
68  ,专业认不认民族加分                                                                                                                                                             ,"认可20分以内。
"
69  ,安徽省文科599，6276名，有贫困县政策能上暨大吗                                                                                                                                            ,"可以看看我校去年的分专业分数线，比对下排位哦。https://zsb.jnu.edu.cn/
"
70  ,云南610可以录取临床医学吗                                                                                                                                                        ,"请比对下我校2020年分专业录取分数哦。已经在网站发布https://zsb.jnu.edu.cn/
"
71  ,请问贵校是招生要求中全部学生都要求数学分数不低于总分的75%，英语分数不低于总分的80%，还是说只有暨南大学伯明翰大学联合学院要求？                                                                                                    ,"只是暨大伯大联合学院有单科要求的。
"
72  ,暨南大学的经济学（中外合作办学）专业的模式是几加几的？毕业证和本校一样吗？毕业证上有中外合作字样吗？                                                                                                                    ,"4+0，毕业证跟普通类专业一样
"
73  ,请问贵校文史类在江苏省投放的名额是多少                                                                                                                                                   ,"https://zsb.jnu.edu.cn/查看网站，已公布
"
74  ,请问贵理工类和文史类校在江苏省录取的最低位次分别是多少                                                                                                                                           ,"https://zsb.jnu.edu.cn/网站有发布上一年的每个专业录取分，请查阅。
"
75  ,请问贵校2021年招生的专业选科要求在哪里可以查到                                                                                                                                             ,"https://zsb.jnu.edu.cn/网站有发布的，请查阅招生计划。
"
76  ,请问贵校今年在海南招生的各专业对色弱有无限制，若有是哪些？若提档会不会因色弱可能退档（服从调剂）？                                                                                                                     ,"医药类专业有限制的。
"
77  ,福建高考生，了解招生计划，及往年录取最低分数                                                                                                                                                ,"https://zsb.jnu.edu.cn/网站有公布
"
78  ,暨南大学住宿和南食堂条件                                                                                                                                                          ,"可以观看暨南大学网站的视频简介、和网络直播简介，6.26会有福建专场。
"
79  ,贵校外国留学生较多，请问会计学等专业班级学生组合上是否中外学生混合安排？住宿、学习等是否中外学生组合安排进行？                                                                                                               ,"一般都是分开的，分流教学。
"
80  ,请问贵校何时出录取分数线？何时出每个专业的录取分数线？应该在哪查询？大概在多少位次可以投档贵校                                                                                                                       ,"https://zsb.jnu.edu.cn/网站有发布去年的，请查阅
"
81  ,河北物理组合590能考上贵校物联网或网络空间安全吗？毕业证上标注珠海和番禺校区吗？                                                                                                                             ,"不会备注校区
"
82  ,贵校的建筑学是优势专业吗？如报考了建筑类大类的专业入校后可否转专业，谢谢！                                                                                                                                 ,"我校目前没有大类，可以转专业
"
83  ,请问贵校2021年河南体育类考生投档方式是哪个公式？                                                                                                                                            ,"按照体育术科成绩
"
84  ,请问贵校有公布专业类的计划招生人数吗？在哪能查询？                                                                                                                                             ,"https://zsb.jnu.edu.cn/网站有发布
"
85  ,山东考生619分，省位次15506，有希望被贵校录取吗？谢谢                                                                                                                                        ,"参考往年排位及考虑到今年山东高考改革省份，平行志愿可以大胆冲报。
"
86  ,我是广东考生，文科，590，排名3110，想读贵校的汉语言文学专业或新闻学，希望有多大                                                                                                                           ,"可参考往年排位，填写平行志愿还是可以冲一下，填报专业时可以热门专业和冷门专业交叉填报。
"
87  ,请问贵校的风景园林专业算是建筑学专业吗？需要参加入学后的素描考试吗？                                                                                                                                    ,"不是的。不需要素描测试。
"
88  ,老师您好，我是河南文科考生，627分，位次1221，请问报考贵校录取概率有多大？建议报考吗？                                                                                                                        ,"关于录取可参考往年排位。
"
89  ,您好，我是河南理科考生，成绩是632分，能否有机会被贵校录取？                                                                                                                                       ,"是否录取可参考往年排位，可以冲报一下。
"
90  ,老师，广州市理科考生，分数597，省排位21518，想报暨南大学，被录取的几率有多少？谢谢！                                                                                                                        ,"参考往年排位，可以考虑冲报一下，充分利用平行志愿优势，是有希望的。
"
91  ,你好，如果被国际部的临床医学录取了，想转到到医学部的临床专业可以吗？转专业有什么要求？                                                                                                                           ,"入读一学年后，专业排名前列的学生，可以申请转专业。
"
92  ,我是贵州考生，理科592分，排位6645，有希望进入贵校学习吗？                                                                                                                                      ,"是否可以被录取可参考往年排位。
"
93  ,您好，请问今年山东省612分，19046名报考贵校希望大吗                                                                                                                                         ,"参考往年排位及考虑到今年山东高考改革省份，平行志愿可以大胆冲报。
"
94  ,请问贵校的编导类戏导专业，录取是按双过专排还是双过文排？专排是省统考排名还是校考的专业排名？贵校好像没有在我省设置校考                                                                                                           ,"请查看我校艺术类招生简章：暨南大学关于2020年艺术类专业校考方案调整的公告（附招生简章）https://zsb.jnu.edu.cn/2020/0414/c3468a477603/page.htm
"
95  ,辽宁理科考生620排名5963在贵校选软件，计算机，经济金融累专业录取机会大不大                                                                                                                              ,"是否可以被录取可参考往年排位，填报专业时热门专业和冷门专业可以搭配填报。
"
96  ,你好，我是贵州考生592分，排名6645，有希望被贵校录取吗？谢谢                                                                                                                                     ,"是否可以被录取可参考往年排位。
"
97  ,老师，您好！我是吉林文科考生，高考成绩为575分，省排位为1525，如果在国家专项计划中报考贵学校的汉语言文学专业，您认为被录取的概率大吗？                                                                                                ,"可以考虑大胆冲报的。
"
98  ,请问暨南大学有专业线差吗                                                                                                                                                          ,"暨南大学专业录取规则：分数优先，不设专业极差。
"
99  ,录取                                                                                                                                                                    ,"天津今年是改革年，可以考虑大胆冲报。
"
100 ,贵校是否可以选择辅修或者双学位？具体有什么规定吗？                                                                                                                                             ,"辅修和双学位具体要求参考各学院。
"
101 ,是否可以修双学位                                                                                                                                                              ,"双学位具体参考各学院要求。
"
102 ,老师好贵校是否限制高考语种                                                                                                                                                         ,"没有。
"
103 ,老师，安徽理科生607分(一本线515分)，名次18437，报中外合作办班有可能录取吗？中外合作办学毕业证与正常录取同学毕业证是一模一样的吗？                                                                                               ,"暨南大学伯明翰大学联合学院设4个本科专业：数学与应用数学、信息与计算科学、经济学、经济统计学。各专业招生录取按照《暨南大学伯明翰大学联合学院2020年招生简章》执行。联合学院在高考改革省份招收符合专业选科要求的考生，在非高考改革省份招收理工类考生。录取要求如下：1.最低录取控制...[详细]
"
104 ,湖北理工科考生，582分，湖北排位2.3万，想报考贵校专项计划，录取率大吗？                                                                                                                                ,"可以报考，有机会。
"
105 ,请问①贵校在专业录取上是否承认民族加分呢？②贵校在广西一般的录取分数位次是多少呢？以上，多谢你！                                                                                                                      ,"原则上承认各省政策性加分，但加分不超过20分，录取位次可可参考往年排位。
"
106 ,浙江636、能进医科吗？                                                                                                                                                          ,"暨南大学专业录取规则:分数优先，如果喜欢医学专业，可以冲报一下。
"
107 ,广东理26500名，有没有机会报，可能会被调剂到哪些专业                                                                                                                                          ,"若考生服从专业调剂，调剂到未满额专业。
"
108 ,请问湖南考生624分能被贵校录取吗，如果能录取那么可以进入什么专业                                                                                                                                     ,"是否能被录取可参考往年排位，专业录取上，暨南大学专业录取规则：分数优先。
"
109 ,山东622分，政史地组合，位次14067，有希望报考贵校汉语言文学专业吗？                                                                                                                                 ,"参考往年排位及考虑到今年山东高考改革省份，平行志愿可以大胆冲报。
"
110 ,湖北理科，583分，排名22823，报考贵校的几率大吗                                                                                                                                           ,"能否被录取具体参考往年排位。
"
111 ,请问新疆文科生，高考成绩592，全省排名308，新疆一本录取线482分，如果专业服从调剂，报考贵校有希望吗？贵校一旦提档，没有身体等其他因素的影响，会退档吗？                                                                                       ,"报考我校有希望，服从调剂不退档。
"
112 ,请问江西理科考生622排名5770报考哪些专业比较稳？如果服从专业调剂能不能避开一些专业？                                                                                                                         ,"是否录取可参考往年排位，填报志愿时热门专业和冷门专业可搭配填报。
"
113 ,河南理科639名次15000能被贵校录取的可能有多大                                                                                                                                            ,"能否被录取，具体参考往年排位。
"
114 ,江西考生，排名7214，有机会进入贵校吗？                                                                                                                                                 ,"是否能被录取可参考往年排位。
"
115 ,录取时两位同学分数相同，是否还会考虑其中一位同学的民族加分                                                                                                                                         ,"专业录取：分数优先，遵循志愿。按高考文化课成绩（裸分）由高到低安排专业，不设专业级差。高考文化课成绩相同时，依据各省提供的排名方法和顺序录取。若各省未提供详细排名或排序分，则按照我校择优录取原则，有加分者（加分高者）优先录取。裸分相同，均无加分，则参考单科成绩排序：1.文...[详细]
"
116 ,江苏文科383分排位2400名报考网络与新媒体专业难度大嘛贵校珠海校区和深圳校区受暨南大学统一管理嘛教学能力与广州是否有差异贵校是否有分省的招生咨询群或者招生咨询电话谢谢了                                                                                ,"暨南大学专业录取规则：分数优先。可以大胆填报自己喜欢的专业，填报专业时热门专业和冷门专业可以科学搭配进行填报。珠海校区和深圳校区受暨南大学统一管理。
"
117 ,"""您好"                                                                                                                                                                ,我是河南考生，艺术类文科，编导制作类省统考148分
118 ,请问金融学有两个代码，152，160，这两个有区别吗？                                                                                                                                           ,"有区别，具体可查看《暨南大学2020年分省分专业招生计划》https://zsb.jnu.edu.cn/2020/0716/c4288a499907/page.htm
"
119 ,"""您好"                                                                                                                                                                ,我是河南考生，艺术类文科，编导制作类省统考148分
120 ,云南文科626分，省排名1020被贵校新闻专业录取概率有多少？                                                                                                                                       ,"暨南大学专业录取规则：分数优先。
"
121 ,请问贵校在录取规则说“一般不招收第二志愿及后续志愿的考生”，不是按平行志愿的招生方式吗？入学后是否可以双修学位，如果转专业需具备什么条件？                                                                                                 ,"无此规定。入学一年后，成绩优异者可以申请转专业。
"
122 ,老师您好，请问广东文科599，排名1900，报金融专业希望大吗？宿舍条件和保研资格等信息在哪里可以查询呢？                                                                                                                 ,"暨南大学专业录取规则：分数优先。
"
123 ,广东理科考生14840名，有多大机会被录取？                                                                                                                                                ,"是否能被录取可参考往年排位。
"
124 ,请问广东代码086的金融学专业是在本部的那个吗？还是在其他校区的？                                                                                                                                     ,"在番禺校区。
"
125 ,山东考生物化生608分位次21473能报多少贵校那些专业？                                                                                                                                         ,"暨南大学专业录取规则：分数优先。可以大胆填报自己喜欢的专业，填报专业时热门专业和冷门专业可以科学搭配进行填报。
"
126 ,您好，今年湖北理工科考生，582分，湖北排位2.3万，想报考贵校，不知道是否能被录取，录取机率大不大？                                                                                                                   ,"能否被录取可参考往年排位。
"
127 ,录取、专业                                                                                                                                                                 ,"能否被录取可参考往年排位。
"
128 ,老师您好，我是青海文科考生，考了519，能否冲一下暨南大学，谢谢                                                                                                                                      ,"具体可参考往年排位。
"
129 ,吉林文科587分会计学能录取吗                                                                                                                                                       ,"暨南大学专业录取规则：分数优先。可填报自己的喜欢的专业，填写专业时热门专业和冷门专业科学搭配填报。
"
130 ,你好，暨大会计学去年招生有个合作项目，分数也高，今年也是合作项目吗，跟去年一样吗                                                                                                                              ,"从来没有合作项目。
"
131 ,您好，请问山东考生，物化地组合621分，位次14539，报考贵校有希望吗？                                                                                                                                 ,"能否被录取可参考往年排位。山东是高考改革省份，可大胆冲报。
"
132 ,您好，按照贵校的招生计划是1:1.05，如果，贵校只招150个人，最后因为服从调剂的问题而招到了158个人，那么其他报考了并服从了调剂的学生是否会被退档?                                                                                         ,"普通类平行志愿批次符合录取规则并服从调剂。
"
133 ,您好，今年湖北理工科考生，582分，湖北排位3.2万，想报考贵校，不知道是否能被录取，录取机率大不大？                                                                                                                   ,"可参考往年排位。
"
134 ,请问一下我过了一批线，但是按照专业分录取，我专业分是222.45分，是四川省前100名。可以上暨南大学吗                                                                                                                  ,"我校戏剧影视导演专业录取原则：高考文化课成绩达到生源所在省的我校普通类专业所在批次录取控制分数线且专业省统考合格的前提下，根据分省招生计划，按专业省统考成绩从高到低择优录取；如省统考成绩相同，则以高考文化课成绩折算分择优录取；如折算分相同，依次按照语文、外语、数学成绩从...[详细]
"
135 ,你好我是内蒙考生，报提前批本校，只要过一本线就可以报考吗？                                                                                                                                         ,"是的。
"
136 ,天津649，物理总位次3639，能被录取吗                                                                                                                                                 ,"可参考往年排位。
"
137 ,本人无素描基础，若专业服从调剂，是否会被调剂到建筑类专业，从而导致退档?                                                                                                                                  ,"一般不会。
"
138 ,您好，考生是天津（今年不分文理改革）考生，高考总成绩622，全市总位次9654，选考科目物理（位次6523）生物(位次6157)地理(位次3822），请问可以填报贵校，报考贵校什么专业录取希望比较大？                                                                  ,"能否被录取可参考往年排位。其次，我校专业录取规则：分数优先。
"
139 ,文科389，位次1500，可以报考吗                                                                                                                                                    ,"平行志愿大胆冲报。
"
140 ,老师您好，我是青海考生，分数504，位次1911，是否有机会报考暨南大学，有录取的几率吗？                                                                                                                         ,"可参考往年排位，平行志愿大胆冲报。
"
141 ,文科389，可以上吗                                                                                                                                                            ,"平行志愿大胆冲报。
"
142 ,老师您好！我是浙江学子，选科政，史，技。本次高考成绩653分，省位次7833名，想报考贵校的网络与新媒体专业希望大吗？谢谢解答！                                                                                                      ,"我校专业录取规则：分数优先。
"
143 ,广东理科588分，排名26500，报考暨南大学有希望吗，一般会被调剂到哪些专业                                                                                                                               ,"平行志愿大胆冲报。调剂原则：若考生服从专业调剂，调剂到未满额专业。
"
144 ,老师，安徽理科生607分(一本线515分)，名次18437，报中外合作办班有可能录取吗？中外合作办学毕业证与正常录取同学毕业证是一模一样的吗？                                                                                               ,"暨南大学伯明翰大学联合学院设4个本科专业：数学与应用数学、信息与计算科学、经济学、经济统计学。各专业招生录取按照《暨南大学伯明翰大学联合学院2020年招生简章》执行。联合学院在高考改革省份招收符合专业选科要求的考生，在非高考改革省份招收理工类考生。录取要求如下：1.最低录取控制...[详细]
"
145 ,老师，安徽理科生607分(一本线515分)，名次18437，报中外合作办学有可能录取吗？中外合作毕业证与正常录取学生毕业证是一模一样的吗？                                                                                                 ,"暨南大学伯明翰大学联合学院设4个本科专业：数学与应用数学、信息与计算科学、经济学、经济统计学。各专业招生录取按照《暨南大学伯明翰大学联合学院2020年招生简章》执行。联合学院在高考改革省份招收符合专业选科要求的考生，在非高考改革省份招收理工类考生。录取要求如下：1.最低录取控制...[详细]
"
146 ,请问广东考生排名22005有机会被贵校录取吗                                                                                                                                                ,"平行志愿大胆填报。
"
147 ,报考贵大学后好改专业不改专业有啥要求                                                                                                                                                    ,"入学一年后，成绩优异者可申请转专业（艺术、体育、护理专业除外）
"
148 ,暨大专业类校考复试全国排名71，高考分454，超本科线20分，有希望录取吗？                                                                                                                                ,"具体规则请考生参考《暨南大学关于2020年艺术类专业校考方案调整的公告（附招生简章）》https://zsb.jnu.edu.cn/2020/0414/c3468a477603/page.htm。请考生结合自己实际情况综合考虑，欢迎报考暨南大学。
"
149 ,老师，安徽18437名，报考中外合作有可能吗？                                                                                                                                               ,"暨南大学伯明翰大学联合学院设4个本科专业：数学与应用数学、信息与计算科学、经济学、经济统计学。各专业招生录取按照《暨南大学伯明翰大学联合学院2020年招生简章》执行。联合学院在高考改革省份招收符合专业选科要求的考生，在非高考改革省份招收理工类考生。录取要求如下：1.最低录取控制...[详细]
"
