ID,标签,问题,答案
13,0,甘肃省理科位次17930录取机会大吗？,亲爱的考生：您好！可参考我校在甘肃历年录取数据。https://zs.sztu.edu.cn/bkzn/lnlq1.htm感谢对我校的关注！如有疑问，可拨打07552325666咨询。深圳技术大学招生办公室
14,0,"您好老师,山东571分(37000位)报考贵校录取机会大吗?女生适合报哪些专业?假如想转专业是贵校的所有专业都可以申请,还是限定在山东招生的专业范围内,如果大学毕业后想继续深造有哪些途径",亲爱的考生：您好！可以参考我校在山东历年录取的数据进行判断，建议依据自身专业兴趣、职业发展选择专业。我校转专业政策相对宽松，不限制转出，在资源满足的情况下不限制转入，可在学校选考科目要求相同的专业间申请转专业。国内考研、出国留学等升学深造的途径都是通畅的。如有疑问，可拨...[详细]
15,0,请问上一年广东省理科最高和最低排位是多少?谢谢,亲爱的考生：您好！2020年我校广东理科录取最低省排位约5万2，文科录取最低省排位约2万2。如有疑问，可拨打07552325666咨询。感谢对我校的关注！深圳技术大学招生办公室
16,0,请问贵校有哪些国家特色专业呢,亲爱的考生：您好！我校暂无国家特色专业。感谢对我校的关注！如有疑问，可拨打07552325666咨询。深圳技术大学招生办公室
17,0,老师，你好！广东历史生，553分，省排位：17493，请问进入贵校英语、商务英语专业的几率有多大？此外，物流管理专业的核心课程有哪些？,亲爱的考生：您好！可参考我校在广东历年录取数据判断。专业核心课程可在我校相关学院查看。感谢对我校的关注！如有疑问，可拨打07552325666咨询。深圳技术大学招生办公室
18,0,如果选了服从调剂还会被退档吗,亲爱的考生：您好！实行平行志愿省份，对于出档到我校的考生，如服从专业调剂，体检合格，符合有关录取规定，我校承诺录取。如有疑问，可拨打07552325666咨询。感谢对我校的关注！深圳技术大学招生办公室
19,0,请问如果我服从调剂，调剂的专业范围是该校所有专业还是有在我省招生的那些专业呢,亲爱的考生：您好！在贵省招生的专业间进行调剂。如有疑问，可拨打07552325666咨询。感谢对我校的关注！深圳技术大学招生办公室
20,0,新高考政策原则上有105%的提档率，是否意味着会有5%的考试被退档？,亲爱的考生：您好！实行平行志愿省份，对于出档到我校的考生，如服从专业调剂，体检合格，符合有关录取规定，我校承诺录取。如有疑问，可拨打07552325666咨询。感谢对我校的关注！深圳技术大学招生办公室
21,0,请问广东省物理考生，分数544，排名76074，有希望报考贵校吗？,亲爱的考生：您好！可参考我校在广东历年录取数据判断。感谢对我校的关注！如有疑问，可拨打07552325666咨询。深圳技术大学招生办公室
22,0,请问贵校今年在安徽省理科一本提档比例是多少？,亲爱的考生：您好！实行平行志愿省份，我校提档比例原则上是1:1。如有疑问，可拨打07552325666咨询。感谢对我校的关注！深圳技术大学招生办公室
23,0,安徽文科考试6100名左右德语可录取吗,亲爱的考生：您好！我校首年面向安徽招生，无历史录取数据参考。感谢对我校的关注！如有疑问，可拨打07552325666咨询。深圳技术大学招生办公室
24,0,请问贵校对安徽今年录取的排位范围，有没有一个预估？,亲爱的考生：您好！我校首年面向安徽招生，无历史录取数据参考。感谢对我校的关注！如有疑问，可拨打07552325666咨询。深圳技术大学招生办公室
25,0,排名30888可以上计算机吗？,亲爱的考生：您好！可参考我校在广东历年录取数据判断。感谢对我校的关注！如有疑问，可拨打07552325666咨询。深圳技术大学招生办公室
26,0,请问现在深圳技术大学有开门吗,你好！目前学校开放接待考生加家长来访咨询，在符合防疫要求的情况下，允许考生及家长进入校园。谢谢！
27,0,山东考生，575分，全省排名49327，请问可以报考吗？,你好！今年是山东首年实施高考综合改革，无法准确预测，我校去年在山东招收35名理科生，录取线557分，省排名约46700，今年山东招生计划40名，理科计划32人，供你参考。谢谢！
28,0,如果文科类分数到了，但所选4个全部专业已满，且接受调剂，这是我会不会滑档,你好！对于出档到我校的考生，如服从专业调剂，体检合格，符合有关录取规定，我校承诺录取。谢谢！
29,0,你好！请问贵校对广东美术生最低录取分数线是多少,您好！我校今年首年招生美术生，广东美术招生计划70人，暂无往年录取情况可供参考。谢谢！
30,0,你好，请问一下贵校专业代码是多少，还有贵校的代码是多少,你好！我校广东招生代码为14655，招生专业代码请在招生专业目录上查找。谢谢！
31,0,你好我是广东文科考生463省排72354专业服从调剂能被贵校录取吗,您好！我校今年首年招生文科生，暂无往年录取情况可供参考。谢谢！
32,0,贵校的专业有专业梯度吗,你好！我校专业分档实行“分数优先”的原则，不设专业级差。谢谢！
33,0,湖北550分可以报考你校吗,你好！我校2020年暂不在湖北招生。谢谢！
34,0,你好我想问下有没有服装设计专业呢,你好！我校暂无服装设计专业。谢谢！
35,0,发的本子上没有网上看到的新增专业,你好！我校广东招生代码为14655，招生专业代码请在招生专业目录上查找。谢谢！
36,0,您好！请问有明确规定低于高分优投线的不录吗？我真的很希望进入贵校，我还有一线希望吗？,你好！我校2019年面向广东省招收理科生657人，录取线521分，高于高优线26分，省排位50886名，今年面向广东理科生招生计划1071人。供你参考，谢谢！
37,0,文科537排位19696能否填报录取,您好！我校今年首年招生文科生，广东文科招生计划214人，暂无往年录取情况可供参考。谢谢！
38,0,您好！老师我是广东考生外语专业是日语，如服从调剂，提档会被退档吗？,你好！我校不限制高考外语语种。谢谢！
39,0,请问广东文科生540报考贵校的可能性多大,您好！我校今年首年招生文科生，广东文科招生计划214人，暂无往年录取情况可供参考。谢谢！
40,0,"您好，广东考生理科531，排名73040，请问能被贵校录取吗？服从专业调剂,谢谢！",你好！我校2019年面向广东省招收理科生657人，录取线521分，省排位50886名，今年面向广东理科生招生计划1071人。供你参考，谢谢！
41,0,新增专业：计算机科学与技术。该专业师资如何？,你好！请查看大数据与互联网学院网站https://bdi.sztu.edu.cn/，有详细咨询介绍，亦可咨询学院0755-23256171.谢谢！
42,0,老师，您好！想问一下出国交流的机会多么？具体有什么要求？,你好！学校非常鼓励学生参与国际交流。学生大一开始就会有机会出国交流交换学习，在学生进入高年级之后我校还会选派符合条件（语言和专业成绩）的学生赴国外高水平院校开展联合培养。每个假期都有大量学生参与3-4周的短期出国交流项目，一学期以上的交换生项目适合高年级学生，也已经开展。此外还...[详细]
43,0,老师，我是广东美术生综合分476排位11943有多少几率可以被贵校录取？,你好！我校首年招收美术生，暂无历年录取数据可供参考。谢谢！
44,0,食堂的价格如何？宿舍是几人间,你好！伙食费因人而异，约20元/天至40元/天不等。本科生4人间，标配空调，独立卫浴。谢谢！
45,0,因为想要考研所以多关注了一下这方面，结果发现有学生说大三有很多时间被安排实习，可能影响考研，这是真的吗？,你好！我校为应用型本科高校，注重学校应用研发能力的培养，学生在大三会有一学期的项目研发实践实训。谢谢！
46,0,广东省理科生578，排名32768能被录取吗？,您好！我校去年广东省理科录取平均分532分，省排名约4万名。谢谢！
47,0,老师好，请问黑龙江文科517分，4892位次，能被贵校文科专业录取吗？,您好！我校今年首年招生文科生，黑龙江文科招生计划4人，暂无往年录取情况可供参考。谢谢！
48,0,你好！我是广东美术生，请问一下高考成绩加上美术综合共429双过线，美术生排名两万五➕，有机会报读贵校吗,你好！我校首年面向广东招收美术生，暂无历年录取数据可供参考。谢谢！
49,0,你好，请问贵校理科有什么专业呢,你好！请查看我校本科招生网https://zs.sztu.edu.cn/。谢谢！
50,0,我觉得我的分数可以上深圳技术大学，但你们商学院是全英教学，我的英语非常的差（84），如果我服从分配，会不会被分配到商学院里学习，我很担心这个。,你好！进档后，理论上是有被调剂到该专业的可能性，这是个概率的问题，我们无法给出确定的答案。平行志愿投档的原则下，建议把专业志愿都填全，并服从专业调剂，避免退档。如有其他疑问可咨询075523256666。谢谢！
51,0,学校的代码以及专业代码多少,你好，我校在陕西的招生代码是6059，具体专业代码请在省教育考试院印发的招生专业目录上查找。谢谢！
52,0,老师您好，文科431排位100751，考取贵校的机会大吗,您好！我校今年首年招生文科生，暂无往年录取情况可供参考。谢谢！
53,0,老师你好，我高考成绩506排位38143若服从调剂可以上贵校吗？,您好！我校今年首年招生文科生，广东文科招生计划214人，暂无往年录取情况可供参考。谢谢！
54,0,深圳男高级中学东校区毕业532分排名72216有希望报贵校吗,你好！我校2019年面向广东省招收理科生657人，录取线521分，省排位50886名，今年面向广东理科生招生计划1071人。供你参考，谢谢！
55,0,请问贵校今年有新开设哪些文史类专业,你好！请查看我校本科招生网https://zs.sztu.edu.cn/。谢谢！
56,0,您好，我是广东理科考生，520，距离广东省优投线还查了4分，请问是否有希望报读贵校？谢谢,你好！我校2019年面向广东省招收理科生657人，录取线521分，省排位50886名，今年面向广东理科生招生计划1071人。供你参考，谢谢！
57,0,请问：如果我被成功投档贵校，又服从志愿调剂，身体与单科成绩也符合要求，是不是一定不会被退档？谢谢！,你好！你表述的这种情况下是不会被退档的。谢谢！
58,0,广东理科生优投线差一分排名81002学考三个A还有希望进入贵校吗？,你好！我校2019年面向广东省招收理科生657人，录取线521分，省排位50886名，今年面向广东理科生招生计划1071人。供你参考，谢谢！
59,0,老师你好！我是广东考生，美术统考综合排名1万多请问有希望被录取吗?,你好！我校首年面向广东招收美术生，暂无历年录取数据可供参考。谢谢！
60,0,请问贵校是本科吗？可通过美术类统考报考吗？,你好！我校首年面向广东招收美术类本科生，术科成绩采用省统考成绩。谢谢！
61,0,陕西理工，今年539，能否报贵校,你好！我校2019年面向陕西省招收理科生30人，录取线531分，省排位约27700名，今年面向陕西理科生招生计划32人。供你参考，谢谢！
62,0,请问贵校考研的情况如何？考研率怎么样？会保研吗？,你好！我校暂无毕业生，学校目前依托深圳大学招收硕士和博士，暂无推免资格。谢谢！
63,0,美术生的录取排位大概多少名，综合分516排名3554可以吗,你好！我校首年面向广东招收美术生，暂无历年录取数据可供参考。谢谢！
64,0,分数较低如果投档后服从调剂还会被退档吗,你好，投档后，服从调剂，分数较低的考生如果体检不符合被调剂的专业的要求时，也是会被退档。谢谢！
65,0,老师，我综合分476排位11943有多少几率可以被贵校录取？,你好！我校首年面向广东招收美术生，暂无历年录取数据可供参考。谢谢！
66,0,请问录入贵校的日语生可以继续凭日语进行考试吗？,你好！我校公共外语教学为英语，具体在校生的外语教学要求，按我校教务部的相关规定执行。谢谢！
67,0,老师您好，贵校的德语专业面向广东的理科生吗？另外本人省排6万多名有机会进入贵校的该专业吗？本人此排名服从调剂进入贵校的可能性大吗，麻烦老师了！,你好！我校德语专业今年只招文科生。另外我校2019年面向广东省招收理科生657人，录取线521分，省排位50886名，今年面向广东理科生招生计划1071人。供你参考，谢谢！
68,0,老师好，2020高考499分，排位43362（文科），能录到吗？,您好！我校今年首年招生文科生，广东文科招生计划214人，暂无往年录取情况可供参考。谢谢！
69,0,广东省2020大概招多少个学生?广东省的分数变化幅度会大吗？,你好！我校2020年面向广东省招生计划1355，其中文科计划214、理科计划1071、艺术计划70。今年首年招生文科生和艺术生，理科计划由去年657人增加至1071人。谢谢！
70,0,请问老师今年文史类学生录取的高考分数最低排位大概在哪,您好！我校今年首年招生文科生，广东招生计划214人，暂无往年录取情况可供参考。谢谢！
71,0,广东理科考生，552分53259名，服从调剂的条件下可以入读贵校吗,你好！我校去年在广东省招收657名理科考生，录取线521分，省排位50886名，2020年我校广东理科招生计划1071人，供你参考，谢谢！
72,0,宁夏男，理工，超一本5分，有希望报贵学校吗？如果报录取希望大吗？,你好！我校今年首年在宁夏招生，暂无往年录取情况可供参考。谢谢！
73,0,学校作为新办学校与老牌211有什么优势呢？转专业是否有时间限制,你好！我校是广东省和深圳市高标准建设的国际化、高水平、示范性一流应用技术大学。学校充分借鉴和引进德国、瑞士等发达国家一流技术大学先进的办学经验，倡导“工匠精神、人文情怀”，致力于培养本科及以上层次具有国际视野、工匠精神和创新创业能力的高水平工程师、设计师等高素质应用型人...[详细]
74,0,贵校在陕西省会招文科生？。,您好，今年首年在陕西招收文科生，以陕西省教育考试院公布招生专业目录为准，谢谢！
75,0,请问贵校对学业水平考试有什么要求吗？两个c一个d可以报考贵校吗？,您好！在广东省，报考本校普通本科层次普通类专业，文科类考生必须参加普通高中学业水平物理、化学、生物学3门科目的考试，理科类考生必须参加普通高中学业水平思想政治、历史、地理3门科目的考试，各门考试均须获得等级成绩；且报考本校普通类专业至少须有2门科目成绩达到C级及以上等级。具...[详细]
76,0,老师您好，我想问一下：我在官网上了解了贵校在广东的招收计划，贵校是否今年开设了商务英语的专业呢？就是可以填贵校的这个专业对不？麻烦老师解惑啦谢谢,您好！我校今年首年开设商务英语专业，面向文科学生招生，暂不招收理科学生。谢谢！
77,0,请问老师贵校的重点特色专业是什么呀,您好！学校为教育部于2018年11月批准设立的高水平应用技术大学，目前开设的专业均为优势专业。如需进一步了解，请拨打075523256666咨询。感谢关注，谢谢！
78,0,请问贵校是否有山东省美术招生计划,您好！我校2020年计划在环境设计专业面向广东省招收美术类考生，暂无山东美术生招生计划。最终招生计划以省招生办公室公布的招生专业目录为准。感谢关注，谢谢！
79,0,广东省招多少人？收文科艺术生吗？是否要学德语？,您好！1、2020年我校首次招收美术类考生，广东省美术类招生计划还没有正式出炉；2、招收广东美术类考生，不分文理。在广东省，报考我校美术类专业，参加高考文科类文化课考试的考生必须参加物理、化学、生物学3门科目普通高中学考，参加高考理科类文化课考试的考生必须参加思想政治、历史、地...[详细]
80,0,今年是否招收文科艺术生，有具体方案或者面向省份吗？,您好！我校2020年计划在环境设计专业面向广东省招收美术类考生。最终招生计划以省招生办公室公布的招生专业目录为准。感谢关注，谢谢！
81,0,1.有招美术生计划吗？2.对本地生源分数是否会放宽？,您好！我校2020年计划在环境设计专业面向广东省招收美术类考生，省内招生计划面向广东全省。最终招生计划以省招生办公室公布的招生专业目录为准。感谢关注，谢谢！
82,0,您好，请问贵校今年在海南有招生计划吗？美术生有没招生计划？按什么方式招,您好！我校2020年计划在环境设计专业面向广东省招收美术类考生，暂无海南省美术生招生计划。另外普通文理科专业招生新增省份待定。最终招生计划以省招生办公室公布的招生专业目录为准。感谢关注，谢谢！
83,0,广东考生招文化外语是日语的吗，有限制其他小语种吗,您好！我校美术类招生不限制外语语种。感谢关注，谢谢！
84,0,今年要在四川招生吗？相关简章在哪，,您好！我校2020年计划在环境设计专业面向广东省招收美术类考生，暂无四川省美术生招生计划。最终招生计划以省招生办公室公布的招生专业目录为准。感谢关注，谢谢！
85,0,请问贵校有美术类的专科招生吗,您好！我校不招专科生。感谢关注，谢谢！
86,0,深圳招生名额有多少个,您好！我校2020年计划在环境设计专业面向广东省招收美术类考生，具体招生计划以广东省招生办公室公布的招生专业目录为准。感谢关注，谢谢！
87,0,美术需要单考吗？面向广东计划招生多少人呢？对美术联考分或者文化分有什么硬性要求吗？谢谢！,您好！我校2020年广东省美术类术科成绩采用省统考成绩，录取最低成绩须达到当年广东省本科批次美术类最低控制线及以上。2020年广东省美术类招生计划数还没有正式出炉，最终招生计划以广东省招生办公室公布的招生专业目录为准。感谢关注，谢谢！
88,0,面对广东省的招生计划招收多少人有什么限制条件深户会有便利吗,您好！我校2020年广东省美术类招生计划还没有正式出炉，最终招生计划以广东省招生办公室公布的招生专业目录为准。感谢关注，谢谢！
