ID,标签,问题,答案
68,0,请问广东历史考生排名42021被贵校录取机会大吗,参考往年录取情况，建议采用“冲稳保”原则填报协同培养专业，勾选“服从调剂”。
69,0,您好。如果我报考贵校的英语师范专业，没有被录取，但是我服从调剂，我会被调剂到同一专业组的电子信息类，网络工程之类的专业吗（真的不擅长）谢谢）,调剂根据同一专业组计划尚有空缺的专业进行。
70,0,请问广东历史生536分排名25947可以被录取吗？,参考往年录取情况，录取有很大希望。建议采用“冲稳保”原则进行填报，勾选“服从调剂”。
71,0,老师您好！我是湖南考生，理科509分。排名72582和72867，请问能录上贵校数学专业吗？谢谢,参考往年录取情况，建议采用“冲稳保”原则进行填报，勾选“服从调剂”。
72,0,请问贵校数字媒体技术专业和智能科学与技术专业第二到四年所在的广州校区是哪个校区？是白云校区吗？,第二至第四年搬回广州校区。具体校区以实际安排为准。
73,0,老师你好，贵州考生文史526分，排名19200，有机会冲吗,参考往年录取情况，建议采用“冲稳保”原则进行填报，勾选“服从调剂”。
74,0,你好，我想请问一下，广东历史类考生，排名3万多，有进入贵校的几率大吗？,参考往年录取情况，录取有很大希望。建议采用“冲稳保”原则进行填报，勾选“服从调剂”。
75,0,你好广东历史排7万多名可以报该校什么专业组,请参考往年录取情况，结合今年招生专业目录进行考虑。
76,0,请问改校专业组208209210是什么类型的？,208.历史科目组，209.历史科目组-少数民族生，210.历史科目组-协同培养类。具体请查看招生专业目录。
77,0,请问少数民族考生的专业组代码是什么，在志愿书上没有看到专业组代码，只有具体专业的代码，谢谢~,今年各专业组设置统一使用招生代码：10588。具体查阅招生专业目录。
78,0,你好，我是广东考生，选的是物理化学生物，今年高考成绩是516，排位是111712，有没有希望报考贵校,参考往年录取情况，录取还是有希望。建议采用“冲稳保”原则进行填报，勾选“服从调剂”。
79,0,内设专科的专业有哪些？怎样去填志愿？,学校今年无专科招生专业。
80,0,老师你好，美术专业342.43分，文化388，综合516.18.提前批次综合排名5354，普通批次综合排名5516名，被贵校录取的机会大吗？,参考往年录取情况，建议采用“冲稳保”原则进行填报，勾选“服从调剂”。
81,0,你好！我想问一下贵校美术生转专业需要什么条件吗，一般什么时候才可以转，会不会很困难转专业,考生进校后可申请专业，具体请咨询学校教务处。
82,0,理科14万的排名有录取的可能吗,参考往年录取情况，建议采用“冲稳保”原则冲一冲，勾选“服从调剂”。
83,0,你好我是2021届历化地考生我的成绩时534排名27276可以报考本校的英语专业吗本校的英语专业是在哪个校区,参考往年录取情况，建议采用“冲稳保”原则可以冲一冲，勾选“服从调剂”。第一年在河源校区，第二至第四年在广州校区
84,0,您好，请问一下今年新校区招生计划大致是怎么安排的。,河源校区约8000人
85,0,我排名九万五能进车辆工程吗,参考往年录取情况，录取有希望。建议采用“冲稳保”原则进行填报，勾选“服从调剂”。
86,0,您好，请问新校区招生计划大致是怎么安排的。,河源校区约8000人
87,0,老师:您好！请问贵校大类招生后，大二分专业是按平时测评和大一的期末成绩综合考虑吗？,根据考生意愿和学习等情况进行分流，具体由教务处和所在学院进行解释说明。
88,0,排名12万有希望上贵校吗？,参考往年录取情况，可以冲一冲，建议勾选“服从调剂”
89,0,你好，请问在湖南有历史专科招生计划吗？如有，那近三年有最低分数吗？,我校无专科招生计划。
90,0,近视750度能报考贵校的生物科学师范类吗？,我校无生物科学师范类专业，请查看招生专业目录。
91,0,你好，广东考生物政地527分，排位97160，想报考贵校计算机类、网络工程及相关专业，录取概率有多大？,参考往年录取情况，录取有希望，建议采用“冲稳保”原则进行填报，勾选“服从调剂”。
92,0,广东理工486分，排名153691能报贵校吗,参考往年录取情况，建议采用“冲稳保”原则填报，勾选“服从调剂”
93,0,广东省理工486分，排名153691能报考贵校吗,参考往年录取情况，建议采用“冲稳保”原则填报，勾选“服从调剂”
94,0,您好老师，想问一下艺术类专业第一年在河源校区，第二年肯定转到白云校区对吗？,第一年在河源校区，第二年搬回广州校区。具体校区以实际安排为准。
95,0,您好，请问广东省历史选科排位7.5w左右可以报贵校的商务英语专业吗，或者有其他专业可报吗,参考往年录取情况，建议采用“冲稳保”原则填报，勾选“服从调剂”
96,0,请问我是广东理科排位在21000左右，有机会上贵校吗？,参考往年录取情况，录取有希望，建议采用“冲稳保”原则填报，勾选“服从调剂”
97,0,云南文科436是否能被贵校录取,学校少数民族班是广东省内计划。
98,0,往年最低位次是多少,请咨询当地招生办，学校无外省位次情况。
99,0,您好，我是广东考生，选科历生政，成绩排位26442，想咨询几个问题：1.贵校录取标准的排位大概在哪；2.贵校的主要专业是什么；3.贵校的考研是怎样的；4.宿舍条件如何？,1.排位可参考往年录取情况。2.我校设有72个本科专业，今年招生涉及9个大类70个专业方向。3.学校积极鼓励毕业生考研，学生考研学校省内外均有，如中山大学、华南师范大学、暨南大学等。4.宿舍安装有空调，标准为4-6人间（以实际安排入住为准）。
100,0,今年523分排名3万多可以上贵校吗,参考往年录取情况，建议采用“冲稳保”原则进行填报，勾选“服从调剂”
101,0,老师好！我想问一下贵校今年在广西文科招生有什么专业？法学招多少人？,广西文科招生18人，法学未招生。具体请查看招生专业目录。
102,0,关于大类招生的专业组，第二年怎样分流师范专业类与非师范专业类？是按成绩划分呢还是学生自行选择,根据考生意愿和学习等情况进行划分。届时由教务处和所在学院进行解释说明。
103,0,老师好！我想问一下民族班都有哪些专业？,少数民族班为广东省计划，物理类24个，历史类15个，详见招生专业目录。
104,0,老师好！我想问一下广西文科的最低投档分数线是多少？,2020年为494分
105,0,我是选的是物理类的，但我想参加农村教师专项计划的美术专业，我能不能填报这个志愿，谢谢,考生，你好！根据招考要求，你是否有参加广东省美术术科统考，如有，则可以填报该志愿。
106,0,你好，我是广东的历史类考生我想问一下贵校1.转专业的条件2.能不能修双学位3.今年贵校是否招收人力资源管理和健康服务与管理专业的广东考生？人力资源管理专业和健康服务与管理专业分别在哪个校区就读？4.选专业的具体条件5.录取时是否设置专业级差和调档比例？6.贵校的宿舍环境如何？最后想...[详细],考生，你好！关于转专业问题，新生入学后可参加创新实验班选拔，实现转专业，另外也可提出转专业申请。关于“双学位”问题，我校暂未实行双学位，但设有法律、会计、金融、英语、日语等辅修专业，面向毕业生设有“第二学士学位”计划。关于专业问题，我校设有人力资源管理专业（新生第一年在...[详细]
107,0,老师好，广东考生排名8万8千左右，录取几率有多大,您好，录取几率还是挺大的
108,0,1、若成功投档贵校且服从调剂，是一定不会被退档和被录取吗？2、第一条适用于贵校与深信院的协同培养专业的录取规则吗？,您好，一般服从调剂不会被退档
109,0,湖南编导文科生，文化531（高于二本线5分，排名29167），专业联考211，综合总分742。请问填报贵校广播电视编导专业的录取机率高吗？谢谢老师。,您好，可参考2019年数据http://zs.gpnu.edu.cn/info/1016/2696.htm
110,0,请问，贵校能修双学位吗？有保研计划吗？,你好，都没有
111,0,河南文科554，排名23278，有希望录取吗,您好，http://zs.gpnu.edu.cn/info/1016/2695.htm可以参考19年数据
112,0,新疆招15名，你们是升级本科的学校吗。,您好，我校是公办本科院校。
113,0,广东省排名8万2左右能否稳上贵校,您好，录取几率较大。
114,0,老师您好，我今年双过线排名是726，请问有机会被贵校录取吗？,您好，我校2019年编导专业最低排位是725，可以尝试冲一下。
115,0,广编排位616稳吗,你好，录取几率较大
116,0,广编排位616稳吗,你好，录取几率较大
117,0,1、若成功投档贵校且服从调剂，是一定不会被退档和被录取吗？2、第一条适用于贵校与深信院的协同培养专业的录取规则吗？,您好，一般服从调剂不会被退档
118,0,老师好，本人广东文史考生，排位22623，有机会被贵校英语师范专业录取吗,您好，可以尝试冲一下。
119,0,1、若成功投档贵校且服从调剂，是一定不会被退档和被录取吗？2、第一条适用于贵校与深信院的协同培养专业的录取规则吗？,您好，若服从调剂一般不会被退档。
120,0,在专业后面有特别标注（师范）的是特指什么，有没有什么要求才能填报,您好，没有特殊要求
121,0,理科87292位，请问报读贵校有可以被电子信息工程类录取吗？如果不能，能不能进贵校而被调剂（服从）？,您好，我校今年扩招，可以尝试冲一下，机会较大。
122,0,老师你好，本人广东文史类考生，排位22623，有机会被英语师范专业录取吗,您好，可以尝试冲一下。
123,0,你好吗请问广编排位903有多大机率会被录取,您好，可以尝试冲一下。
124,0,你好吗请问广编排位903有多大机率会被录取,您好，可以尝试冲一下。
125,0,我是广东理科考生省排名71030，请问报读贵校的汉语言文学师范类被录取的几率大吗？,您好，我校今年扩招，录取几率较大。
126,0,请问可以从商务英语或者金融学转到法学吗？？,您好，可以。
127,0,想问问，贵学校2019年理科最低在广东省内排位多少录取,您好，19年最低排位为85937。
128,0,请问今年贵校对于海南的录取分数线专业179.3文化420录取概率,您好，具体看综合分。
129,0,与深信，番职本专协同培养4+0是在哪个学院就读？,您好，在对应的专科学校就读，毕业证为我校颁发。
130,0,请问广东理科514分91821排位今年能进入贵校吗？谢谢,您好，我校今年扩招，可以尝试冲一下。
131,0,我是广东编导考生有意向报考贵校今年编导合成分472排位710请问录取几率大吗有希望吗,您好，机会较大，我校2019年最低排位为725.
132,0,请问今年在海南计划招多少人，海南新高考物化生组合572有机会吗,您好，今年理科在海南招生20人
133,0,广东理科14.7w，有没有机会被本专协同培养录取？,您好，机会还是有的，可以尝试冲一下
134,0,可以转专业吗,可以
135,0,你好，我想问一下本专协同培养的文凭含金量与正常本科的有多大差别？,您好，是一样的。
136,0,您好，请问广东考生排名28000左右，想要填报金融学类的专业有机会吗？,您好，可以尝试冲一下。
137,0,您好。贵校在山东有招生计划么？专业206，文化393，有希望么,你好，我校在山东无编导计划。
138,0,老师您好，新疆文科考生438位次6624被贵校录取概率大吗,您好，录取几率较大
139,0,排名76000左右，可以去贵校的热门专业的几率大不大,您好，几率还是挺大的。
140,0,老师您好，请问广东文科排位26085能进贵校吗，谢谢老师!,您好，可以尝试冲一下。
141,0,您好，我是广东考生，想报考贵校广播电视编导专业，术科统考和文化合成总分481，省排位813，录取机会大吗？,您好，可以尝试冲一下。
142,0,老师好，请问我校的投档比例是多少？投档后有被退档的可能吗？,您好，为1:1投档，一般服从调剂不会被退档。
143,0,贵校可以修双学位吗，如果选日语的话可以多修一个英语吗,您好，我校无双学位，只有辅修。
144,0,请问广东编导综合排名898今年，有几率被贵校录取吗,您好，可以尝试冲一下。
145,0,综合分492排名585有机会去贵校吗,您好，录取机会还是挺大的，我校19年最低排位是725
146,0,您好，请问贵校是否有专业不招收高考日语考生。如果有请问是哪些,您好，都招收，但是平时会有英语课，请谨慎报考。
147,0,福建考生成绩：510，排名：39182，报考贵校的数字媒体技术专业有希望被录取吗?,您好，我校2019在福建理科录取最低分为485，可以作为参考。
148,0,广东理科528分排名76000左右，能上贵校的什么专业呢,您好，可以到我校官网查看2019年各专业录取最低排位进行参考。
149,0,请问已过统考线。438分，能报吗（专项）,您好，我校2019年教师专项最低分为478，可以作为参考。
150,0,请问贵校向福建省招生提档比例多少？贵校向我福建省只有3个专业有招生，如果3个专业福建名额我都排不上，会不会被贵校提档？会被调剂到没有向福建省招生的其它专业吗？（我选择的是服从专业调剂）,您好，我校按1:1提档，调剂只在各省有招生的专业中调剂，若分数达不到最低分的话，不会被提档。
151,0,贵校与广州番禺职业技术学院联合培养的“金融学”专业，毕业证和学位证上的专业后是否会有“（应用技术类）”之类的附加字样？专业的代码是否是020301K？谢谢解答！,您好，院校代码为80016，可能会注明（联合培养）
152,0,您好，我的总排名是13649名，想报考学校的汉语言文学，请问我是否会有很大机会进入贵校，并且选到这个专业吗？,您好，报考该专业录取机会较大，一般可以被录取到。
153,0,老师，您好，今年有哪几个校区招生？如我填报的是白云校区的志愿，并选择服从专业调剂，会被调剂到其他校区吗？谢谢！,您好，今年在北校区，白云校区，河源校区进行招生，可能会调去其他校区的。
154,0,请问师范类要报到提前批还是普通批,您好，我校提前批为美术类教师专项，其他师范为普通批
155,0,文科排位23139有没机会读上贵校的汉语言/英语专业？,您好，这两个专业的录取分数会比较高一些，可能机会比较小。
156,0,老师您好，请问网络与新媒体专业的就业方向和前景是什么？贵校的网络与新媒体专业是热门专业吗？网络与新媒体上课主要是学习什么呢？,您好，具体涉及专业问题可以咨询二级学院老师，或者进QQ咨询群259823661
157,0,老师您好，请问如果选了贵校的英语专业的话可以辅修网络与新媒体专业吗？,您好，具体看专业是否有开设辅修。
158,0,福建理科生，500分，位次43743，有希望录取吗？,您好，我校2019年福建录取的理科最低分为485，录取机会还是较大的。
159,0,老师您好，请问贵校的热门专业是什么？如果广东考生536，20220排位，可以进热门专业吗？,您好，热门专业为师范类专业，您的排位进热门专业的几率还是有的。
160,0,请问理科466排名148700左右录取贵校的与深圳信息职业技术学院协同培养的软件工程有机会吗,您好，2019年最低排位为143000左右，可以尝试冲一下。
161,0,贵州文科545，省位9960被贵校网络与新媒体专业录取的希望大吗,您好，我校2019年在贵州的最低录取分数为521，可以参考一下。
162,0,艺术类加文化类排名10150左右可以考虑冲一下嘛,您好，可以到我校官网查看2019艺术类各专业综合分录取最低分。
163,0,请问今年在贵州要招多少人,您好，贵州文科招收25人
164,0,民族分作数吗,您好，我校具体看各省总分排名。
165,0,贵州文科545，裸分525，省位9960有希望被贵校录取吗,您好，我校在贵州没有招收艺术类考生。
166,0,请问广东文科生排位26085报考贵校稳吗？？,您好，我校2019年最低排位为22002，今年有扩招约500人，可以尝试冲一下。
167,0,老师你好，在广东省广编的统考录取中，除按综合分排名外，还有文化分成绩要求吗？贵校招生简章中在实行平行志愿的省份根据艺术平行志愿排位分，请问这个艺术平行志愿排位分指的是综合分吗？,您好，我校要求文化分与术科分双过线，排位指综合分排位。
168,0,广东技术师范大学里面的所有专业没有标注色弱不招，是不是色弱色盲都可以报？,您好，美术类专业不招收色盲色弱考生。
169,0,请问贵校今年招收日语考生吗？,您好，招收的，但是非日语专业可能平时课程有英语，所以请谨慎报考。
170,0,广东考生编导双过线排位710报考贵校希望有多少呢?,您好，我校2019年广播电视编导专业最低排名为725，您的录取几率较大。
171,0,我的综合分是449，排名1756，请问冲一下有希望被贵校录取吗？,您好，可以参考我校2019年广播电视编导专业录取分数线，最低排名为725.
172,0,2020年新疆招生吗？,您好，招生的。
173,0,你好，我是广东美术生，请问一下综合429双过线，美术排名两万五多是否有机会报读贵校？,您好，要看综合分排名，我校2019美术专业最低录取排位为5000左右。
174,0,您好，我是广东考生，想报考贵校广播电视编导专业，术科统考和文化合成总分522，省排位218，录取机会大吗？,您好，录取机会较大，我校2019年最低排位是725，可放心报考。
175,0,你好我问一下那个汉语文学专业师范类和非师范类有什么不一样？,您好，师范类专业在教学中会多一些教育课程。
176,0,你好！广州文科生505分，总排名39504有机会录入贵校吗？服从专业调剂，谢谢！,您好，录取几率较小，可以尝试冲一下。
177,0,2020在新疆的招生人数,您好，一共是35人。
178,0,汉语言文学专业是一直在河源校区还是只是第一年？,您好，第一年。
179,0,老师您好，请问广东文科排位23300能进贵校吗，谢谢老师!,您好，我校2019年录取最低排位为22002，今年文科有扩招，可以冲一下。
180,0,请问与深职协同培养往年的最低排位是多少，学费多少？与贵校的一样还是与深圳一样,您好，最低排位在14万左右，学费与本校收费标准一样。
181,0,老师你好这里是理科生今年排名69014可以报贵校的网络与新媒体专业吗,您好，我校2019年该专业最低排位为72000，录取概率较大，欢迎报考我校。
182,0,您好，文科生484，排位5万5千多，能冲一下贵校吗，谢谢,您好，该分数录取几率较小，请谨慎报考。
